route,Empfänger PLZ,Empfänger Ort,Tonnage (eff.),Lademeter,Erloese,dinas_erloese_kg,dlv_soll,dlv_soll_kg,delta_pct,zone_matched,weight_band_matched,Ausgangsbordero,periode
CH-90,9015,,57.0000,0.0000,102.6900,180.1579,55.7600,97.8246,-45.7000,Zone 3,bis 300 kg,2025_24201636,PRE
CH-94,9445,,778.0000,0.0000,349.8700,44.9704,271.7600,34.9306,-22.3300,Zone 4,bis 800 kg,2025_24201636,PRE
CH-90,9015,,65.0000,0.0000,102.6900,157.9846,55.7600,85.7846,-45.7000,Zone 3,bis 300 kg,2025_24201636,PRE
CH-62,6260,,19.0000,0.0000,102.6900,540.4737,55.7600,293.4737,-45.7000,Zone 3,bis 300 kg,2025_24201636,PRE
CH-62,6260,,418.0000,0.0000,246.3000,58.9234,181.2500,43.3612,-26.4100,Zone 3,bis 500 kg,2025_24201636,PRE
CH-66,6600,,71.0000,0.0000,151.1300,212.8592,72.4200,102.0000,-52.0800,Zone 8,bis 300 kg,2025_24201636,PRE
CH-83,8302,,124.0000,0.0000,120.8900,97.4919,71.6600,57.7903,-40.7200,Zone 1,bis 300 kg,2025_24201636,PRE
CH-46,4600,,30.0000,0.0000,100.9700,336.5667,54.2500,180.8333,-46.2700,Zone 2,bis 300 kg,2025_24201636,PRE
CH-62,6280,,25.0000,0.0000,102.6900,410.7600,55.7600,223.0400,-45.7000,Zone 3,bis 300 kg,2025_24201729,PRE
CH-83,8302,,145.0000,0.0000,120.8900,83.3724,71.6600,49.4207,-40.7200,Zone 1,bis 300 kg,2025_24201729,PRE
CH-90,9015,,47.0000,0.0000,102.6900,218.4894,55.7600,118.6383,-45.7000,Zone 3,bis 300 kg,2025_24201801,PRE
CH-89,8902,,532.0000,0.0000,239.1000,44.9436,174.9600,32.8872,-26.8300,Zone 2,bis 800 kg,2025_24201801,PRE
CH-49,4900,,62.0000,0.0000,100.9700,162.8548,54.2500,87.5000,-46.2700,Zone 2,bis 300 kg,2025_24201801,PRE
CH-94,9445,,226.0000,0.0000,191.9300,84.9248,133.7400,59.1770,-30.3200,Zone 4,bis 300 kg,2025_24201801,PRE
CH-90,9015,,107.0000,0.0000,133.4500,124.7196,82.6400,77.2336,-38.0700,Zone 3,bis 300 kg,2025_24201866,PRE
CH-94,9445,,55.0000,0.0000,104.5800,190.1455,57.4100,104.3818,-45.1000,Zone 4,bis 300 kg,2025_24201866,PRE
CH-83,8304,,66.0000,0.0000,97.7100,148.0455,51.4100,77.8939,-47.3900,Zone 1,bis 300 kg,2025_24201866,PRE
CH-54,5436,,5.0000,0.0000,100.9700,2019.4000,54.2500,1085.0000,-46.2700,Zone 2,bis 300 kg,2025_24201866,PRE
CH-32,3254,,23.0000,0.0000,104.5800,454.6957,57.4100,249.6087,-45.1000,Zone 4,bis 300 kg,2025_24201866,PRE
CH-82,8207,,106.0000,0.0000,128.3500,121.0849,78.1800,73.7547,-39.0900,Zone 2,bis 300 kg,2025_24201866,PRE
CH-62,6260,,43.0000,0.0000,102.6900,238.8140,55.7600,129.6744,-45.7000,Zone 3,bis 300 kg,2025_24201911,PRE
CH-62,6260,,147.0000,0.0000,133.4500,90.7823,82.6400,56.2177,-38.0700,Zone 3,bis 300 kg,2025_24201997,PRE
CH-83,8304,,520.0000,0.0000,220.2100,42.3481,158.4600,30.4731,-28.0400,Zone 1,bis 800 kg,2025_24201997,PRE
CH-83,8302,,94.0000,0.0000,97.7100,103.9468,51.4100,54.6915,-47.3900,Zone 1,bis 300 kg,2025_24202083,PRE
CH-90,9015,,61.0000,0.0000,102.6900,168.3443,55.7600,91.4098,-45.7000,Zone 3,bis 300 kg,2025_24202083,PRE
CH-90,9015,,10.0000,0.0000,112.9500,1129.5000,55.7600,557.6000,-50.6300,Zone 3,bis 300 kg,2025_24202083,PRE
CH-94,9445,,891.0000,0.0000,383.9100,43.0875,301.5000,33.8384,-21.4700,Zone 4,bis 1.000 kg,2025_24202149,PRE
CH-62,6260,,71.0000,0.0000,102.6900,144.6338,55.7600,78.5352,-45.7000,Zone 3,bis 300 kg,2025_24202149,PRE
CH-90,9015,,166.0000,0.0000,133.4500,80.3916,82.6400,49.7831,-38.0700,Zone 3,bis 300 kg,2025_24202149,PRE
