route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
4601,2676.0000,3.2000,620.0000,633.6447,-13.6447
4601,4313.6000,13.6000,1300.0000,1357.9900,-57.9900
4601,10704.0300,13.6000,1300.0000,1357.9900,-57.9900
4601,3540.2000,13.6000,1300.0000,1357.9900,-57.9900
2321,10000.0000,13.6000,1100.0000,1137.7600,-37.7600
0582,7853.0000,13.6000,920.0000,1015.4300,-95.4300
7300,260.0000,2.0000,594.0000,,
5513,3735.0000,10.4000,611.2500,675.6459,-64.3959
4601,89.5000,0.4000,0.0000,,
0582,2592.8100,5.2000,715.0000,,
2321,217.0000,0.4000,174.0000,175.1106,-1.1106
2321,477.0000,1.6000,546.0000,550.4424,-4.4424
2321,4326.4000,13.6000,1100.0000,1137.7600,-37.7600
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,7188.0000,13.6000,920.0000,1015.4300,-95.4300
0582,8178.0000,13.6000,920.0000,1015.4300,-95.4300
3151,1148.0000,1.6000,460.0000,460.0000,0.0000
0617,6000.0000,6.0000,2149.9000,2178.4088,-28.5088
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,811.2000,2.4000,975.0000,500.6635,474.3365
0582,4364.0000,12.0000,1125.0000,,
0582,8309.0000,13.6000,920.0000,1015.4300,-95.4300
5513,2751.0000,8.0000,533.7500,583.2853,-49.5353
0582,8444.0000,13.6000,920.0000,1015.4300,-95.4300
1403,8112.0000,13.6000,2380.0000,,
1069,50.5000,0.4000,139.0000,,
3151,48.2000,0.8000,260.0000,260.0000,0.0000
6011,4133.0000,13.6000,0.0000,,
2321,546.5000,1.6000,546.0000,550.4424,-4.4424
1069,3559.2000,2.4000,510.0000,520.2335,-10.2335
6011,1495.0000,1.2000,0.0000,,
6011,6737.0000,13.6000,920.0000,1015.4300,-95.4300
0617,1305.3200,5.2000,1871.9000,1896.6076,-24.7076
0617,5000.0000,10.4000,3055.5000,3104.9153,-49.4153
1403,10633.0000,13.6000,2380.0000,,
1069,1140.6000,1.2000,305.0000,310.1168,-5.1168
6011,4000.0000,8.0000,975.0000,,
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
2321,3575.0000,13.6000,960.0000,1137.7600,-177.7600
