leistungsdatum,auftragsnummer,kunde,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok
2025-11-07,7092010016830003,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,195.7500,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3635.3700,3635.3700,0.0000,True
2025-11-07,7092010016157001,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,2906.1000,168.5500,45.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3120.2600,3120.2600,0.0000,True
2025-11-07,7092010016147002,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306,260.0000,15.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,275.0800,275.0800,0.0000,True
2025-11-07,7092010016827003,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,195.7500,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3635.3700,3635.3700,0.0000,True
2025-11-10,5152000003397005,EBM-Papst Mulfingen GmbH & Co. KG,DE,70499,166.8000,9.6700,7.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,183.9000,183.9000,0.0000,True
2025-11-10,7092010016362009,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-10,7092010016738002,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-13,7092010017418002,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-13,7092010017634006,EBM-Papst Mulfingen GmbH & Co. KG,SI,3320,1413.0000,81.9500,57.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1552.9400,1552.9400,0.0000,True
2025-11-14,7092010018521008,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,3130.3000,181.5600,51.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3363.1800,3363.1800,-0.0000,True
2025-11-14,7092010018512006,EBM-Papst Mulfingen GmbH & Co. KG,IE,F92,3325.0000,192.8500,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3582.4700,3582.4700,0.0000,True
2025-11-14,7092010018518008,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,1175.3000,68.1700,11.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1254.8700,1254.8700,-0.0000,True
2025-11-14,7092010017744002,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306,150.0000,8.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,158.7000,158.7000,0.0000,True
2025-11-14,7092010018507002,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,195.7500,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3635.3700,3635.3700,0.0000,True
2025-11-14,7092010018524009,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,195.7500,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3635.3700,3635.3700,0.0000,True
2025-11-17,7092010017817003,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,55.6800,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1053.4400,1053.4400,0.0000,True
2025-11-17,7092010017821000,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,55.6800,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1053.4400,1053.4400,0.0000,True
2025-11-17,7092010017954005,EBM-Papst Mulfingen GmbH & Co. KG,PL,59-241,79.0000,4.5800,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.0600,86.0600,0.0000,True
2025-11-17,7092010017957006,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-18,7092010018334004,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-19,7092010018702001,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-19,7092010018406008,EBM-Papst Mulfingen GmbH & Co. KG,PL,70-895,475.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,475.0000,475.0000,0.0000,True
2025-11-19,7092010018744001,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,55.6800,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1053.4400,1053.4400,0.0000,True
2025-11-20,7092010019064009,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,53.3600,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1068.7900,1068.7900,0.0000,True
2025-11-20,5152000003532000,EBM-Papst Mulfingen GmbH & Co. KG,DE,74673,94.8000,5.5000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.7800,102.7800,0.0000,True
2025-11-20,7092010019537008,EBM-Papst Mulfingen GmbH & Co. KG,HR,52460,1175.0000,68.1500,44.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1287.5000,1287.5000,0.0000,True
