system;invoice;datum;dest;postcode;postcode_area;kg;ldm;fracht;diesel;lsz;ausfuhr;ssd;total_shipment
DINAS;RECHNUNG03773061.pdf;08.07.25;GB-LE671 ELLISTOWN;LE67;LE;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03773061.pdf;10.07.25;GB-LE671 ELLISTOWN;LE67;LE;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03773061.pdf;10.07.25;GB-LS26 9DP;LS26;LS;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03773078.pdf;01.07.25;GB-BA3 4BS;BA3;BA;0.0;0.0;814.25;0;0.0;0.0;15.0;829.25
DINAS;RECHNUNG03773078.pdf;01.07.25;GB-NN86X;NN86;NN;7800.0;5.2;1184.9;0;0.0;0.0;15.0;1199.9
DINAS;RECHNUNG03773078.pdf;02.07.25;GB-B42 1DY;B42;B;9000.0;6.0;1334.5;0;0.0;0.0;15.0;1349.5
DINAS;RECHNUNG03773078.pdf;02.07.25;GB-BA3 4BS;BA3;BA;0.0;0.0;1311.65;0;0.0;0.0;15.0;1326.65
DINAS;RECHNUNG03773078.pdf;02.07.25;GB-NG91P;NG91;NG;4200.0;2.8;778.25;0;0.0;0.0;15.0;793.25
DINAS;RECHNUNG03773078.pdf;01.07.25;GB-EX14 1SD;EX14;EX;24000.0;13.6;2695.05;0;0.0;0.0;15.0;2710.05
DINAS;RECHNUNG03773078.pdf;01.07.25;GB-PE25 3SN;PE25;PE;9000.0;6.0;1454.95;0;0.0;0.0;15.0;1469.95
DINAS;RECHNUNG03773078.pdf;02.07.25;GB-EX14 1SD;EX14;EX;1800.0;1.2;300.76;0;0.0;0.0;15.0;315.76
DINAS;RECHNUNG03773078.pdf;02.07.25;GB-EX14 1SD;EX14;EX;5400.0;3.6;902.29;0;0.0;0.0;15.0;917.29
DINAS;RECHNUNG03774694.pdf;22.07.25;GB-CB9 8PR;CB9;CB;3450.0;2.3;698.1;0;5.25;15.0;15.0;733.35
DINAS;RECHNUNG03774695.pdf;25.07.25;GB-CB9 8PR;CB9;CB;4950.0;3.3;899.45;0;7.5;15.0;15.0;936.95
DINAS;RECHNUNG03774696.pdf;25.07.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03774697.pdf;28.07.25;GB-CB9 8PR;CB9;CB;300.0;0.2;101.45;0;0.45;15.0;15.0;131.9
DINAS;RECHNUNG03774698.pdf;29.07.25;GB-CB9 8PR;CB9;CB;750.0;0.5;210.55;0;1.2;15.0;15.0;241.75
DINAS;RECHNUNG03774873.pdf;16.07.25;GB-CV3 4 COVENTRY;CV3;CV;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03774873.pdf;21.07.25;GB-LE67 1LE;LE67;LE;1800.0;1.2;393.2;0;0.0;0.0;15.0;408.2
DINAS;RECHNUNG03774873.pdf;25.07.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.07;0;0.0;0.0;15.0;146.07
DINAS;RECHNUNG03774873.pdf;25.07.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.07;0;0.0;0.0;15.0;146.07
DINAS;RECHNUNG03774873.pdf;25.07.25;GB-LE67 1LE;LE67;LE;600.0;0.4;131.06;0;0.0;0.0;15.0;146.06
DINAS;RECHNUNG03774873.pdf;25.07.25;GB-M17 1 MANCHESTER;M17;M;600.0;0.4;161.45;0;0.0;0.0;15.0;176.45
DINAS;RECHNUNG03774873.pdf;28.07.25;GB-RM20 4AL;RM20;RM;600.0;0.4;154.55;0;0.0;0.0;15.0;169.55
DINAS;RECHNUNG03774873.pdf;31.07.25;GB-B377H;B37;B;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03775196.pdf;16.07.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03775196.pdf;17.07.25;GB-LE42B;LE42;LE;1800.0;1.2;393.2;0;2.7;15.0;15.0;425.9
DINAS;RECHNUNG03775196.pdf;17.07.25;GB-LE42B;LE42;LE;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03775196.pdf;18.07.25;GB-NE10 8YA;NE10;NE;600.0;0.4;209.6;0;0.9;15.0;15.0;240.5
DINAS;RECHNUNG03775196.pdf;22.07.25;GB-LS26 9DP;LS26;LS;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03775196.pdf;23.07.25;GB-DN11 0 DONCASTER;DN11;DN;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03775196.pdf;23.07.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03775196.pdf;23.07.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03775196.pdf;23.07.25;GB-LE42B;LE42;LE;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03775241.pdf;25.07.25;GB-DE53R;DE53;DE;1200.0;0.8;292.85;0;1.8;15.0;15.0;324.65000000000003
DINAS;RECHNUNG03775241.pdf;16.07.25;GB-DN3 1GZ;DN3;DN;0.0;0.0;2715.75;0;0.0;0.0;15.0;2730.75
DINAS;RECHNUNG03775241.pdf;16.07.25;GB-NN9 6NY;NN9;NN;0.0;0.0;2540.95;0;0.0;0.0;15.0;2555.95
DINAS;RECHNUNG03775241.pdf;17.07.25;GB-DN3 1GZ;DN3;DN;0.0;0.0;2715.75;0;0.0;0.0;15.0;2730.75
DINAS;RECHNUNG03775241.pdf;17.07.25;GB-PE198 BUSINESS;PE19;PE;0.0;0.0;880.9;0;0.0;0.0;15.0;895.9
